index,code,name,lat,long,tambon,amphoe,province,basin,region,station_type
0,MEWG  ,อบต.บ้านกาด,18.6039136,98.7984384,บ้านกาด,แม่วาง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
1,SKPG  ,รร.อนุบาล ทต.สันกำแพง,18.7528928,99.1277824,สันกำแพง,สันกำแพง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
2,WGHG  ,อบต.เปียงหลวง,19.6492448,98.6348352,เปียงหลวง,เวียงแหง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
3,NTNG  ,รพสต.บ้านหนองไคร้,18.6013056,98.9396672,หนองตอง,หางดง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
4,CGDO  ,ทต.แม่นะ,19.341248,98.9612864,แม่นะ,เชียงดาว,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
5,BMKN  ,ทต.สันติสุข,18.529,98.8210624,สันติสุข,ดอยหล่อ,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
6,SBRS  ,ทต.บ้านปง,18.7503216,98.8897216,บ้านปง,หางดง,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
7,DITO  ,อบต.ดอยเต่า,17.9154864,98.7279424,ดอยเต่า,ดอยเต่า,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
8,HOTT  ,อบต.หางดง,18.162056,98.6085632,หางดง,ฮอด,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
9,FANG  ,อบต.เวียง,19.9411488,99.218112,เวียง,ฝาง,เชียงใหม่,แม่น้ำกก,ภาคเหนือ,R
10,SNSI  ,ทต.สันนาเม็ง,18.8380768,99.0569472,สันนาเม็ง,สันทราย,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
11,CPKC  ,ทต.ไชยปราการ,19.742264,99.1454336,ปงตำ,ไชยปราการ,เชียงใหม่,แม่น้ำกก,ภาคเหนือ,R
12,TAPE  ,ทต.ช้างเผือก,18.8101008,98.9699456,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
13,OMKI  ,อบต.อมก๋อย,17.7979744,98.34144,อมก๋อย,อมก๋อย,เชียงใหม่,แม่น้ำปิง,ภาคเหนือ,R
